rx_sign,site_call,in_wsprnet,in_wsprdaemon,source_class,sw_class,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,quality_tier,n_days_active,n_spots_wsprnet,n_spots_wd,noise_valid_frac
-999,,False,True,wsprdaemon_only,unknown,KD7EFG,,,,,,,,D,2,,7.0,1.0
/DB4JW/QRP,DB4JW,True,False,wsprnet_only,other,JO31jn,6.0,51.5625,6.7917,N,51.5625,47.189,47.189,D,1,8.0,,
0,0,False,True,wsprdaemon_only,unknown,KA7OEI-9,,,,,,,,B,125,,283.0,1.0
000000,000000,True,False,wsprnet_only,wsjtx,JN59pl,6.0,49.4792,11.2917,N,49.4792,44.739,44.739,D,1,8.0,,
0T6TPO,0T6TPO,True,False,wsprnet_only,wsjtx,GQ46,4.0,76.5,-51.0,N,76.5,80.449,80.449,D,1,87.0,,
0Z6YK-QTH,0Z6YK,True,False,wsprnet_only,other,JO46qk,6.0,56.4375,9.375,N,56.4375,52.906,52.906,D,1,1.0,,
0Z7LTJ,0Z7LTJ,True,False,wsprnet_only,wsjtx,JO65eg,6.0,55.2708,12.375,N,55.2708,51.545,51.545,D,1,167.0,,
1,1,False,True,wsprdaemon_only,unknown,W1CK,,,,,,,,D,6,,8.0,1.0
10,10,False,True,wsprdaemon_only,unknown,W1CK,,,,,,,,D,1,,1.0,1.0
1007,1007,False,True,wsprdaemon_only,unknown,KX4AZ/T,,,,,,,,D,1,,1.0,1.0
1019,1019,False,True,wsprdaemon_only,unknown,KD7EFG,,,,,,,,D,1,,1.0,1.0
1022,1022,False,True,wsprdaemon_only,unknown,KX4AZ/T,,,,,,,,D,2,,2.0,1.0
1029,1029,False,True,wsprdaemon_only,unknown,KX4AZ/T,,,,,,,,D,1,,1.0,1.0
1034,1034,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,2,,2.0,1.0
1049,1049,False,True,wsprdaemon_only,unknown,N6GN4,,,,,,,,D,1,,1.0,1.0
1071,1071,False,True,wsprdaemon_only,unknown,N8GA,,,,,,,,D,1,,1.0,1.0
1087,1087,False,True,wsprdaemon_only,unknown,KD2OM,,,,,,,,D,1,,1.0,1.0
1097,1097,False,True,wsprdaemon_only,unknown,KD7EFG,,,,,,,,D,1,,1.0,1.0
109KB983,109KB983,True,False,wsprnet_only,wsjtx,JN97ns,6.0,47.7708,19.125,N,47.7708,43.004,43.004,D,1,4.0,,
1105,1105,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,1,,1.0,1.0
1106,1106,False,True,wsprdaemon_only,unknown,KD2OM,,,,,,,,D,1,,1.0,1.0
113,113,False,True,wsprdaemon_only,unknown,KFS/OMNI,,,,,,,,D,1,,1.0,1.0
1133,1133,False,True,wsprdaemon_only,unknown,N6GN4,,,,,,,,D,1,,1.0,1.0
1134,1134,False,True,wsprdaemon_only,unknown,KX4AZ/T,,,,,,,,D,1,,1.0,1.0
1166,1166,False,True,wsprdaemon_only,unknown,GM0UDL,,,,,,,,D,1,,1.0,1.0
1180,1180,False,True,wsprdaemon_only,unknown,KX4AZ/T,,,,,,,,D,2,,2.0,1.0
1193,1193,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,1,,1.0,1.0
1195,1195,False,True,wsprdaemon_only,unknown,N8GA,,,,,,,,D,1,,1.0,1.0
11NIFK,11NIFK,True,False,wsprnet_only,wsjtx,AA00aa,6.0,-89.9792,-179.9583,S,89.9792,-74.438,74.438,D,1,2.0,,
12361,12361,False,True,wsprdaemon_only,unknown,KD7EFG,,,,,,,,D,1,,1.0,1.0
123NOBODY,123NOBODY,True,False,wsprnet_only,wsjtx,FK18oa,6.0,18.0208,-76.7917,N,18.0208,27.399,27.399,D,3,545.0,,
1242,1242,False,True,wsprdaemon_only,unknown,KD2OM,,,,,,,,D,1,,2.0,1.0
1245,1245,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,2,,3.0,1.0
1258,1258,False,True,wsprdaemon_only,unknown,KD2OM,,,,,,,,D,1,,1.0,1.0
1313,1313,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,1,,1.0,1.0
1320,1320,False,True,wsprdaemon_only,unknown,KX4AZ/T,,,,,,,,D,1,,1.0,1.0
1322,1322,False,True,wsprdaemon_only,unknown,N8GA,,,,,,,,D,1,,1.0,1.0
1326,1326,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,1,,1.0,1.0
1339,1339,False,True,wsprdaemon_only,unknown,KD2OM,,,,,,,,D,1,,1.0,1.0
1344,1344,False,True,wsprdaemon_only,unknown,GM0UDL,,,,,,,,D,1,,1.0,1.0
1349,1349,False,True,wsprdaemon_only,unknown,N6GN3,,,,,,,,D,1,,1.0,1.0
