tx_sign,base_call,in_wsprnet,in_wsprdaemon,source_class,quality_tier,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,n_days_active,n_spots_wsprnet
04G/PE1GYC,PE1GYC,True,False,wsprnet_only,B,JO10mv,6.0,50.8958,3.0417,N,50.8958,46.384,46.384,3,14
11R/LF1NVW,LF1NVW,True,True,both,A,IO53jn,6.0,53.5625,-9.2083,N,53.5625,50.143,50.143,234,17455
2D0MUP,2D0MUP,True,True,both,B,IO74,4.0,54.5,-5.0,N,54.5,51.046,51.046,4,10195
2E0AQU,2E0AQU,True,True,both,B,IO82wn,6.0,52.5625,-2.125,N,52.5625,48.545,48.545,8,26287
2E0BRU,2E0BRU,True,True,both,B,IO94,4.0,54.5,-1.0,N,54.5,50.87,50.87,8,1514
2E0BWX,2E0BWX,True,True,both,A,IO93le,6.0,53.1875,-1.0417,N,53.1875,49.278,49.278,18,3582
2E0CIT,2E0CIT,True,True,both,B,JO01ak,6.0,51.4375,0.0417,N,51.4375,47.095,47.095,190,362070
2E0CUH,2E0CUH,True,True,both,A,IO70if,6.0,50.2292,-5.2917,N,50.2292,45.73,45.73,12,41815
2E0CVW,2E0CVW,True,True,both,B,IO91,4.0,51.5,-1.0,N,51.5,47.196,47.196,4,49
2E0CWP,2E0CWP,True,True,both,A,IO94cr,6.0,54.7292,-1.7917,N,54.7292,51.177,51.177,20,47948
2E0DDV,2E0DDV,True,False,wsprnet_only,A,IO82uj,6.0,52.3958,-2.2917,N,52.3958,48.345,48.345,10,988
2E0DLC,2E0DLC,True,True,both,A,IO93hm,6.0,53.5208,-1.375,N,53.5208,49.696,49.696,395,3538222
2E0DMB,2E0DMB,True,True,both,A,IO90,4.0,50.5,-1.0,N,50.5,45.946,45.946,10,22026
2E0DSS,2E0DSS,True,True,both,A,IO82xl,6.0,52.4792,-2.0417,N,52.4792,48.44,48.44,367,1143834
2E0DVS,2E0DVS,True,True,both,B,IO92ej,6.0,52.3958,-1.625,N,52.3958,48.323,48.323,149,469713
2E0DXE,2E0DXE,True,True,both,A,IO93rg,6.0,53.2708,-0.5417,N,53.2708,49.364,49.364,13,5302
2E0EEY,2E0EEY,True,True,both,B,IO93et,6.0,53.8125,-1.625,N,53.8125,50.06,50.06,5,91
2E0ETU,2E0ETU,True,True,both,B,IO81ia,6.0,51.0208,-3.2917,N,51.0208,46.662,46.662,303,146493
2E0EUI,2E0EUI,True,False,wsprnet_only,A,JN49el,6.0,49.4792,8.375,N,49.4792,44.676,44.676,15,58
2E0FAS,2E0FAS,True,True,both,B,IO84jc,6.0,54.1042,-3.2083,N,54.1042,50.478,50.478,5,2909
2E0FDM,2E0FDM,True,True,both,A,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,57,257271
2E0FHM,2E0FHM,True,True,both,B,IO92ws,6.0,52.7708,-0.125,N,52.7708,48.741,48.741,3,607
2E0FTZ,2E0FTZ,True,True,both,B,IO71va,6.0,51.0208,-4.2083,N,51.0208,46.694,46.694,4,1297
2E0GRV,2E0GRV,True,True,both,B,JO02rr,6.0,52.7292,1.4583,N,52.7292,48.653,48.653,6,1324
2E0GTD,2E0GTD,True,True,both,B,IO70jb,6.0,50.0625,-5.2083,N,50.0625,45.514,45.514,5,766
2E0GWF,2E0GWF,True,True,both,A,IO81,4.0,51.5,-3.0,N,51.5,47.254,47.254,151,172933
2E0HFK,2E0HFK,True,True,both,A,IO92fg,6.0,52.2708,-1.5417,N,52.2708,48.166,48.166,89,352043
2E0HKD,2E0HKD,True,True,both,B,IO91kg,6.0,51.2708,-1.125,N,51.2708,46.914,46.914,8,3308
2E0HKE,2E0HKE,True,True,both,A,IO81me,6.0,51.1875,-2.9583,N,51.1875,46.861,46.861,11,4647
