rx_sign,rx_id,n_spots,n_noise_ok,n_ov_nonzero,first_spot,last_spot,n_bands,bands,noise_valid_frac,rms_noise_mean,c2_noise_mean,ov_frac,noise_usable
-999,KA9Q_0,7,7,0,2025-09-02 06:04:00,2025-12-11 08:56:00,3,20m|10m|other,1.0,-120.06,21.43,0.0,True
0,KA9Q-0,6,6,0,2026-05-19 00:42:00,2026-05-31 08:08:00,2,30m|20m,1.0,-141.72,-142.7,0.0,True
0,KA9Q_0,55,55,0,2025-09-02 00:24:00,2026-06-08 00:02:00,6,80m|40m|30m|20m|15m|other,1.0,-125.23,-124.95,0.0,True
0,KA9Q_1,1,1,0,2026-01-28 10:32:00,2026-01-28 10:32:00,1,other,1.0,-50.1,-51.2,0.0,True
0,KA9Q_2,6,6,0,2026-03-19 05:16:00,2026-06-15 04:32:00,2,40m|20m,1.0,-122.98,-123.53,0.0,True
0,KA9Q_3,2,2,0,2025-08-16 05:14:00,2025-11-29 21:46:00,2,20m|other,1.0,-125.45,-99.45,0.0,True
0,KA9Q_4,6,6,0,2025-12-04 18:38:00,2025-12-20 16:32:00,2,10m|other,1.0,-123.78,-126.63,0.0,True
0,KA9Q_KFS_OMNI,14,14,0,2025-06-05 00:42:00,2026-03-18 03:36:00,4,40m|20m|17m|other,1.0,-116.38,-104.43,0.0,True
0,KA9Q_KFS_SW,10,10,0,2026-03-11 12:26:00,2026-05-13 08:48:00,2,40m|30m,1.0,-115.54,-121.14,0.0,True
0,KIWI_0,99,99,0,2025-06-10 14:18:00,2026-05-28 12:58:00,6,40m|20m|17m|15m|10m|other,1.0,-135.9,-123.55,0.0,True
0,KIWI_1,69,69,0,2025-07-30 19:28:00,2026-05-24 12:58:00,8,160m|80m|40m|30m|20m|17m|10m|other,1.0,-127.83,-124.67,0.0,True
0,KIWI_2,4,4,0,2026-03-13 09:18:00,2026-03-13 09:18:00,1,40m,1.0,-130.4,-69.4,0.0,True
0,KIWI_77,1,1,0,2025-10-23 12:52:00,2025-10-23 12:52:00,1,15m,1.0,-152.0,-90.9,0.0,True
0,KIWI_80,3,3,0,2025-10-23 13:32:00,2025-12-28 21:56:00,3,20m|10m|other,1.0,-134.73,-73.0,0.0,True
0,KIWI_XR,4,4,0,2025-09-30 16:42:00,2025-11-23 21:46:00,2,20m|10m,1.0,-137.07,-95.62,0.0,True
0,NUT_KIWI3,1,1,0,2026-03-12 04:30:00,2026-03-12 04:30:00,1,40m,1.0,-123.9,-60.8,0.0,True
0,WEB-888,2,2,0,2026-05-19 08:58:00,2026-05-21 14:26:00,1,40m,1.0,-131.8,-130.4,0.0,True
1,KIWI_0,4,4,0,2026-04-26 13:28:00,2026-05-05 07:58:00,2,40m|20m,1.0,-142.48,-81.52,0.0,True
1,KIWI_1,4,4,0,2025-08-28 04:30:00,2026-04-28 03:28:00,3,80m|40m|30m,1.0,-126.48,-110.3,0.0,True
10,KIWI_0,1,1,0,2026-05-08 07:58:00,2026-05-08 07:58:00,1,80m,1.0,-132.8,-71.2,0.0,True
1007,KA9Q_0,1,1,0,2025-08-19 11:10:00,2025-08-19 11:10:00,1,30m,1.0,-131.9,30.0,0.0,True
